NI (c) Historical Data Viewer v2.0                           
Created: 20.1.2025 14:40:00.049 FLE Standard Time
Number of rows: 15732
Interpolation interval: 0 seconds

Row,Time,\\EGP-DSC-1\C__Program_Files__x86__National_Instruments_LabVIEW_2014_data\EGP-DSC-1\Current Integrator\Current
325,12:00:38.631,3.17265e-008
326,12:00:38.932,2.61137e-008
327,12:00:39.231,3.29715e-008
328,12:00:39.535,3.18563e-008
329,12:00:39.839,2.8607e-008
330,12:00:40.120,2.25979e-008
331,12:00:40.420,3.04794e-008
332,12:00:40.720,3.26536e-008
333,12:00:41.020,2.83671e-008
334,12:00:41.310,3.02802e-008
335,12:00:41.627,3.14495e-008
336,12:00:41.937,2.76273e-008
337,12:00:42.236,3.51567e-008
338,12:00:42.536,2.37562e-008
339,12:00:42.845,3.29162e-008
340,12:00:43.130,2.82777e-008
341,12:00:43.430,2.69619e-008
342,12:00:43.720,3.442e-008
343,12:00:44.020,2.26447e-008
344,12:00:44.320,2.77671e-008
345,12:00:44.625,2.62994e-008
346,12:00:44.937,2.85133e-008
347,12:00:45.232,3.38489e-008
348,12:00:45.533,2.15319e-008
349,12:00:45.839,1.82346e-008
350,12:00:46.120,2.55967e-008
351,12:00:46.420,1.1847e-008
352,12:00:46.720,2.95079e-008
353,12:00:47.020,2.26373e-008
354,12:00:47.320,3.27633e-008
355,12:00:47.621,2.93174e-008
356,12:00:47.931,2.80225e-008
357,12:00:48.235,3.01002e-008
358,12:00:48.541,2.67442e-008
359,12:00:48.830,2.75339e-008
360,12:00:49.120,3.14676e-008
361,12:00:49.430,3.14724e-008
362,12:00:49.720,3.50495e-008
363,12:00:50.020,3.13317e-008
364,12:00:50.320,2.82141e-008
365,12:00:50.619,2.85847e-008
366,12:00:50.931,2.63621e-008
367,12:00:51.229,3.20978e-008
368,12:00:51.537,2.89792e-008
369,12:00:51.844,3.37496e-008
370,12:00:52.121,2.60002e-008
371,12:00:52.420,3.444e-008
372,12:00:52.720,3.22323e-008
373,12:00:53.020,2.9758e-008
374,12:00:53.320,2.97041e-008
375,12:00:53.616,3.25989e-008
376,12:00:53.931,3.24039e-008
377,12:00:54.233,3.1016e-008
378,12:00:54.538,3.05325e-008
379,12:00:54.842,2.67002e-008
380,12:00:55.120,3.23301e-008
381,12:00:55.420,2.89806e-008
382,12:00:55.730,3.24374e-008
383,12:00:56.020,2.58587e-008
384,12:00:56.320,3.09225e-008
385,12:00:56.613,3.13807e-008
386,12:00:56.928,3.12575e-008
387,12:00:57.231,2.97123e-008
388,12:00:57.538,3.16709e-008
389,12:00:57.840,3.11945e-008
390,12:00:58.120,3.13505e-008
391,12:00:58.430,2.85355e-008
392,12:00:58.720,3.10357e-008
393,12:00:59.020,3.29519e-008
394,12:00:59.320,3.1499e-008
395,12:00:59.611,2.97941e-008
396,12:00:59.932,2.62949e-008
397,12:01:00.228,3.24599e-008
398,12:01:00.528,3.13493e-008
399,12:01:00.832,3.29303e-008
400,12:01:01.127,2.9459e-008
401,12:01:01.430,2.85676e-008
402,12:01:01.720,3.29297e-008
403,12:01:02.020,3.37547e-008
404,12:01:02.320,2.99471e-008
405,12:01:02.620,3.47543e-008
406,12:01:02.929,2.74254e-008
407,12:01:03.237,3.38906e-008
408,12:01:03.543,2.94697e-008
409,12:01:03.837,2.89613e-008
410,12:01:04.134,3.02398e-008
411,12:01:04.430,3.52777e-008
412,12:01:04.720,3.14858e-008
413,12:01:05.020,3.18805e-008
414,12:01:05.320,2.98841e-008
415,12:01:05.611,2.93971e-008
416,12:01:05.929,2.77236e-008
417,12:01:06.233,3.37237e-008
418,12:01:06.540,3.11314e-008
419,12:01:06.834,3.37234e-008
420,12:01:07.124,3.38273e-008
421,12:01:07.430,2.77982e-008
422,12:01:07.730,3.2278e-008
423,12:01:08.020,2.99014e-008
424,12:01:08.320,3.29291e-008
425,12:01:08.610,3.23724e-008
426,12:01:08.934,2.71137e-008
427,12:01:09.233,3.31154e-008
428,12:01:09.533,3.16843e-008
429,12:01:09.832,2.96755e-008
430,12:01:10.123,3.359e-008
431,12:01:10.430,3.1353e-008
432,12:01:10.720,2.96993e-008
433,12:01:11.020,2.98462e-008
434,12:01:11.320,-3.36309e-012
435,12:01:11.610,-4.15223e-012
436,12:01:11.931,-2.38476e-012
437,12:01:12.232,-2.41362e-012
438,12:01:12.532,-2.69695e-012
439,12:01:12.838,-2.81331e-012
440,12:15:20.033,-1.71951e-012
441,12:15:20.336,-3.09885e-012
442,12:15:20.643,-6.39044e-013
443,12:15:20.935,-4.59632e-012
444,12:15:21.230,-1.33182e-012
445,12:15:21.530,-4.37161e-012
446,12:15:21.820,1.50058e-012
447,12:15:22.120,-1.71596e-012
448,12:15:22.412,-3.38396e-012
449,12:15:22.731,1.52278e-012
450,12:15:23.037,-3.10729e-012
451,12:15:23.337,-4.10871e-012
452,12:15:23.641,-2.39275e-012
453,12:15:23.920,-2.0064e-012
454,12:15:24.230,-2.84306e-012
455,12:15:24.520,-3.61844e-012
456,12:15:24.820,8.74412e-013
457,12:15:25.120,-1.38223e-011
458,12:15:25.410,1.57074e-012
459,12:15:25.737,2.83298e-008
460,12:15:26.029,2.87121e-008
461,12:15:26.328,2.8818e-008
462,12:15:26.635,3.02561e-008
463,12:15:26.927,2.61864e-008
464,12:15:27.230,2.8813e-008
465,12:15:27.530,2.60039e-008
466,12:15:27.820,2.76221e-008
467,12:15:28.120,2.88992e-008
468,12:15:28.420,2.22473e-008
469,12:15:28.734,2.82068e-008
470,12:15:29.036,2.57502e-008
471,12:15:29.343,2.93105e-008
472,12:15:29.632,3.1201e-008
473,12:15:29.928,2.94205e-008
474,12:15:30.230,2.69319e-008
475,12:15:30.530,2.63894e-008
476,12:15:30.820,2.77184e-008
477,12:15:31.120,2.93679e-008
478,12:15:31.411,2.3023e-008
479,12:15:31.732,2.94658e-008
480,12:15:32.035,2.0917e-008
481,12:15:32.331,2.95914e-008
482,12:15:32.631,2.69763e-008
483,12:15:32.925,2.53008e-008
484,12:15:33.230,2.90088e-008
485,12:15:33.530,2.58571e-008
486,12:15:33.820,2.66179e-008
487,12:15:34.120,2.99806e-008
488,12:15:34.410,2.85167e-008
489,12:15:34.727,3.07954e-008
490,12:15:35.035,2.9422e-008
491,12:15:35.331,2.85371e-008
492,12:15:35.638,2.81029e-008
493,12:15:35.943,2.65053e-008
494,12:15:36.230,3.05483e-008
495,12:15:36.521,2.40454e-008
496,12:15:36.820,3.13834e-008
497,12:15:37.120,2.71588e-008
498,12:15:37.410,2.67434e-008
499,12:15:37.731,2.83606e-008
500,12:15:38.028,2.42108e-008
501,12:15:38.337,2.74007e-008
502,12:15:38.636,2.98906e-008
503,12:15:38.936,2.65214e-008
504,12:15:39.230,2.87883e-008
505,12:15:39.520,2.85292e-008
506,12:15:39.820,2.51194e-008
507,12:15:40.120,2.9084e-008
508,12:15:40.410,2.51038e-008
509,12:15:40.728,2.9072e-008
510,12:15:41.028,2.79138e-008
511,12:15:41.333,3.17047e-008
512,12:15:41.638,2.78641e-008
513,12:15:41.936,3.20602e-008
514,12:15:42.230,2.82255e-008
515,12:15:42.521,2.95881e-008
516,12:15:42.820,2.93855e-008
517,12:15:43.120,2.68591e-008
518,12:15:43.420,2.91612e-008
519,12:15:43.724,2.94838e-008
520,12:15:44.027,2.46208e-008
521,12:15:44.334,2.76729e-008
522,12:15:44.643,3.01096e-008
523,12:15:44.933,2.53265e-008
524,12:15:45.221,2.78872e-008
525,12:15:45.520,2.83958e-008
