TallyType,Surface,Distance,Energy,Counts,Uncertainty
tally_type_1,7,0.0,0.0026390999999999997,551842.0,0.0013
tally_type_1,7,0.0,0.0027612,552840.0,0.0013
tally_type_1,7,0.0,0.002889,552266.0,0.0013
tally_type_1,7,0.0,0.0030228,554582.0,0.0013
tally_type_1,7,0.0,0.0031626999999999996,554978.0,0.0013
tally_type_1,7,0.0,0.0033090999999999997,556710.0,0.0013
tally_type_1,7,0.0,0.0034622,557128.0,0.0013
tally_type_1,7,0.0,0.0036225,557422.0,0.0013
tally_type_1,7,0.0,0.0037902,559718.0,0.0013
tally_type_1,7,0.0,0.0039656,559697.0,0.0013
tally_type_1,7,0.0,0.0041492,561453.0,0.0013
tally_type_1,7,0.0,0.0043412,562614.0,0.0013
tally_type_1,7,0.0,0.004542200000000001,565094.0,0.0013
tally_type_1,7,0.0,0.0047523999999999995,565297.0,0.0013
tally_type_1,7,0.0,0.0049724,565491.0,0.0013
tally_type_1,7,0.0,0.0052025,564532.0,0.0013
tally_type_1,7,0.0,0.0054433,566611.0,0.0013
tally_type_1,7,0.0,0.0056953,567433.0,0.0013
tally_type_1,7,0.0,0.0059589,569733.0,0.0013
tally_type_1,7,0.0,0.0062347,571266.0,0.0013
tally_type_1,7,0.0,0.0065233,573550.0,0.0013
tally_type_1,7,0.0,0.006825299999999999,575946.0,0.0013
tally_type_1,7,0.0,0.0071412,575098.0,0.0013
tally_type_1,7,0.0,0.0074717,577075.0,0.0013
tally_type_1,7,0.0,0.0078176,579440.0,0.0013
tally_type_1,7,0.0,0.0081794,580191.0,0.0013
tally_type_1,7,0.0,0.008558,583911.0,0.0013
tally_type_1,7,0.0,0.008954199999999999,585265.0,0.0013
tally_type_1,7,0.0,0.009368600000000001,588133.0,0.0013
tally_type_1,7,0.0,0.0098023,588303.0,0.0013
tally_type_1,7,0.0,0.010256,590448.0,0.0013
tally_type_1,7,0.0,0.010731,591457.0,0.0013
tally_type_1,7,0.0,0.011227,593984.0,0.0013
tally_type_1,7,0.0,0.011746999999999999,596209.0,0.0013
tally_type_1,7,0.0,0.012291,597898.0,0.0013
tally_type_1,7,0.0,0.01286,599135.0,0.0013
tally_type_1,7,0.0,0.013455,602149.0,0.0013
tally_type_1,7,0.0,0.014078,603083.0,0.0013
tally_type_1,7,0.0,0.014729,604689.0,0.0013
tally_type_1,7,0.0,0.015411,607485.0,0.0013
tally_type_1,7,0.0,0.016125,609127.0,0.0013
tally_type_1,7,0.0,0.016871,611078.0,0.0013
tally_type_1,7,0.0,0.017652,612523.0,0.0013
tally_type_1,7,0.0,0.018469,614947.0,0.0013
tally_type_1,7,0.0,0.019324,616350.0,0.0013
tally_type_1,7,0.0,0.020218,617679.0,0.0013
tally_type_1,7,0.0,0.021154000000000003,620549.0,0.0013
tally_type_1,7,0.0,0.022133,620126.0,0.0013
tally_type_1,7,0.0,0.023158,623282.0,0.0013
tally_type_1,7,0.0,0.02423,625497.0,0.0013
tally_type_1,7,0.0,0.025351,627828.0,0.0013
tally_type_1,7,0.0,0.026524,630619.0,0.0013
tally_type_1,7,0.0,0.027752000000000002,631760.0,0.0013
tally_type_1,7,0.0,0.029037,632438.0,0.0013
tally_type_1,7,0.0,0.030381,634793.0,0.0013
tally_type_1,7,0.0,0.031786999999999996,637799.0,0.0013
tally_type_1,7,0.0,0.033257999999999996,640178.0,0.0012
tally_type_1,7,0.0,0.034798,643334.0,0.0012
tally_type_1,7,0.0,0.036409000000000004,644059.0,0.0012
tally_type_1,7,0.0,0.038093999999999996,646100.0,0.0012
tally_type_1,7,0.0,0.039857000000000004,647015.0,0.0012
tally_type_1,7,0.0,0.041702,650100.0,0.0012
tally_type_1,7,0.0,0.043632,652984.0,0.0012
tally_type_1,7,0.0,0.045652000000000005,653807.0,0.0012
tally_type_1,7,0.0,0.047765,656157.0,0.0012
tally_type_1,7,0.0,0.049976,658169.0,0.0012
tally_type_1,7,0.0,0.052289,660619.0,0.0012
tally_type_1,7,0.0,0.054709,662507.0,0.0012
tally_type_1,7,0.0,0.057242,663507.0,0.0012
tally_type_1,7,0.0,0.059891,666278.0,0.0012
tally_type_1,7,0.0,0.06266300000000001,670009.0,0.0012
tally_type_1,7,0.0,0.065564,670721.0,0.0012
tally_type_1,7,0.0,0.068599,674127.0,0.0012
tally_type_1,7,0.0,0.07177399999999999,675228.0,0.0012
tally_type_1,7,0.0,0.075096,678518.0,0.0012
tally_type_1,7,0.0,0.078572,678990.0,0.0012
tally_type_1,7,0.0,0.082209,682361.0,0.0012
tally_type_1,7,0.0,0.086014,684017.0,0.0012
tally_type_1,7,0.0,0.08999599999999999,686592.0,0.0012
